Name of the script:,Incoming_Test(5_point_Meas)_Bench25,,,,,,,,,,,,,,,,,,,
Start Date:,1/16/2024 16:40,,,,,,,,,,,,,,,,,,,
S/N :,109660701,,,,,,,,,,,,,,,,,,,
Operator Name:,ErikNakov,,,,,,,,,,,,,,,,,,,
DUT Var:,DN5,,,,,,,,,,,,,,,,,,,
Description of this test:,IncommingTest_5-points,,,,,,,,,,,,,,,,,,,
DUT Ref:,DUT1#1_DN7(7-inch),,,,,,,,,,,,,,,,,,,
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming
1,1/16/2024 16:44,Wake Mode,30.2,22.8,14,1/16/2024 16:42,0.158973,1/16/2024 16:42,0,1/16/2024 16:42,0,1/16/2024 16:42,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 16:42,0,No new reset,1/16/2024 16:42,Inactive,Active,1
2,1/16/2024 16:45,Wake Mode,30.5,23,14,1/16/2024 16:44,0.247487,1/16/2024 16:44,0,1/16/2024 16:42,0,1/16/2024 16:42,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 16:42,0,No new reset,1/16/2024 16:42,Inactive,Active,50
3,1/16/2024 16:46,Wake Mode,27.8,22.6,14,1/16/2024 16:45,0.328844,1/16/2024 16:45,0,1/16/2024 16:42,0,1/16/2024 16:42,921B07 - 954A07 - 900300 - DF0000 - ,1/16/2024 16:42,0,No new reset,1/16/2024 16:42,Inactive,Active,100
4,1/16/2024 16:48,Off Mode,22.5,21.8,0,1/16/2024 16:47,0.000047,1/16/2024 16:47,0,1/16/2024 16:47,-1,1/16/2024 16:46,,1/16/2024 16:47,-2,No response,1/16/2024 16:47,Inactive,Active,0
5,1/16/2024 16:50,Off Mode,17.8,20.4,0,1/16/2024 16:49,0.000044,1/16/2024 16:49,0,1/16/2024 16:49,-1,1/16/2024 16:48,,1/16/2024 16:48,-2,No response,1/16/2024 16:49,Inactive,Active,0
6,1/16/2024 16:52,Off Mode,14.9,17.9,0,1/16/2024 16:51,0.000043,1/16/2024 16:51,0,1/16/2024 16:50,-1,1/16/2024 16:50,,1/16/2024 16:50,-2,No response,1/16/2024 16:50,Inactive,Active,0
7,1/16/2024 16:54,Off Mode,13.5,14.9,0,1/16/2024 16:52,0.000048,1/16/2024 16:52,0,1/16/2024 16:52,-1,1/16/2024 16:52,,1/16/2024 16:52,-2,No response,1/16/2024 16:52,Inactive,Active,0
8,1/16/2024 16:55,Off Mode,12.5,11.5,0,1/16/2024 16:54,0.000047,1/16/2024 16:54,0,1/16/2024 16:54,-1,1/16/2024 16:54,,1/16/2024 16:54,-2,No response,1/16/2024 16:54,Inactive,Active,0
9,1/16/2024 16:57,Off Mode,12,8.4,0,1/16/2024 16:56,0.000047,1/16/2024 16:56,0,1/16/2024 16:55,-1,1/16/2024 16:55,,1/16/2024 16:55,-2,No response,1/16/2024 16:56,Inactive,Active,0
10,1/16/2024 16:59,Off Mode,11.8,5,0,1/16/2024 16:57,0.000047,1/16/2024 16:57,0,1/16/2024 16:57,-1,1/16/2024 16:57,,1/16/2024 16:57,-2,No response,1/16/2024 16:57,Inactive,Active,0
11,1/16/2024 17:00,Off Mode,12,1.6,0,1/16/2024 16:59,0.000045,1/16/2024 16:59,0,1/16/2024 16:59,-1,1/16/2024 16:59,,1/16/2024 16:59,-2,No response,1/16/2024 16:59,Inactive,Active,0
12,1/16/2024 17:02,Off Mode,12.2,-1.7,0,1/16/2024 17:01,0.000043,1/16/2024 17:01,0,1/16/2024 17:01,-1,1/16/2024 17:01,,1/16/2024 17:01,-2,No response,1/16/2024 17:01,Inactive,Active,0
13,1/16/2024 17:04,Off Mode,12.5,-5,0,1/16/2024 17:03,0.000047,1/16/2024 17:03,0,1/16/2024 17:02,-1,1/16/2024 17:02,,1/16/2024 17:02,-2,No response,1/16/2024 17:02,Inactive,Active,0
14,1/16/2024 17:06,Off Mode,12.8,-8.3,0,1/16/2024 17:04,0.000046,1/16/2024 17:04,0,1/16/2024 17:04,-1,1/16/2024 17:04,,1/16/2024 17:04,-2,No response,1/16/2024 17:04,Inactive,Active,0
15,1/16/2024 17:07,Off Mode,13.1,-11.6,0,1/16/2024 17:06,0.000042,1/16/2024 17:06,0,1/16/2024 17:06,-1,1/16/2024 17:06,,1/16/2024 17:06,-2,No response,1/16/2024 17:06,Inactive,Active,0
16,1/16/2024 17:09,Off Mode,13.2,-15.1,0,1/16/2024 17:08,0.000046,1/16/2024 17:08,0,1/16/2024 17:07,-1,1/16/2024 17:07,,1/16/2024 17:07,-2,No response,1/16/2024 17:08,Inactive,Active,0
17,1/16/2024 17:11,Off Mode,13.3,-18.4,0,1/16/2024 17:09,0.000043,1/16/2024 17:09,0,1/16/2024 17:09,-1,1/16/2024 17:09,,1/16/2024 17:09,-2,No response,1/16/2024 17:09,Inactive,Active,0
18,1/16/2024 17:12,Off Mode,13.5,-21.8,0,1/16/2024 17:11,0.000042,1/16/2024 17:11,0,1/16/2024 17:11,-1,1/16/2024 17:11,,1/16/2024 17:11,-2,No response,1/16/2024 17:11,Inactive,Active,0
19,1/16/2024 17:14,Off Mode,13.7,-25.3,0,1/16/2024 17:13,0.000046,1/16/2024 17:13,0,1/16/2024 17:13,-1,1/16/2024 17:13,,1/16/2024 17:13,-2,No response,1/16/2024 17:13,Inactive,Active,0
20,1/16/2024 17:16,Off Mode,14.1,-28.6,0,1/16/2024 17:15,0.000044,1/16/2024 17:15,0,1/16/2024 17:14,-1,1/16/2024 17:14,,1/16/2024 17:14,-2,No response,1/16/2024 17:14,Inactive,Active,0
21,1/16/2024 17:18,Off Mode,14.8,-32.1,0,1/16/2024 17:16,0.000048,1/16/2024 17:16,0,1/16/2024 17:16,-1,1/16/2024 17:16,,1/16/2024 17:16,-2,No response,1/16/2024 17:16,Inactive,Active,0
22,1/16/2024 17:19,Off Mode,15.8,-35.3,0,1/16/2024 17:18,0.000046,1/16/2024 17:18,0,1/16/2024 17:18,-1,1/16/2024 17:18,,1/16/2024 17:18,-2,No response,1/16/2024 17:18,Inactive,Active,0
23,1/16/2024 17:21,Off Mode,17.7,-37.3,0,1/16/2024 17:20,0.000044,1/16/2024 17:20,0,1/16/2024 17:19,-1,1/16/2024 17:19,,1/16/2024 17:19,-2,No response,1/16/2024 17:20,Inactive,Active,0
24,1/16/2024 17:23,Off Mode,19.6,-38.7,0,1/16/2024 17:21,0.000047,1/16/2024 17:21,0,1/16/2024 17:21,-1,1/16/2024 17:21,,1/16/2024 17:21,-2,No response,1/16/2024 17:21,Inactive,Active,0
