Name of the script:,Incoming_Test(5_point_Meas)_Bench25
Start Date:,1/16/2024 4:40:09 PM
S/N :,109660702
Operator Name:,ErikNakov
DUT Var:,DN5
Description of this test:,IncommingTest_5-points
DUT Ref:,DUT1#2_DN7(7-inch)
No.,Date Time, Mode,Humidity, Temperature,Voltage_Ref,Time,Current (A) ,Time, Sence (V),Time,CANStatus,Time,DTC,Time,Reset counter,Cause,Time,Bouton_IN (CAFR or LKA),Bouton_OUT (STT),Dimming,
1,1/16/2024 16:44:01,Wake Mode,30.2,22.8,14.0,01/16/2024  16:42:54,0.156109,01/16/2024  16:42:54,0,01/16/2024  16:42:34,0,01/16/2024  16:42:18,921B07 - 900300 - DF0000 - ,01/16/2024  16:42:29,0,No new reset,01/16/2024  16:42:40,Inactive,Active,1,
2,1/16/2024 16:45:25,Wake Mode,30.5,23.0,14.0,01/16/2024  16:44:18,0.241193,01/16/2024  16:44:18,0,01/16/2024  16:42:34,0,01/16/2024  16:42:18,921B07 - 900300 - DF0000 - ,01/16/2024  16:42:29,0,No new reset,01/16/2024  16:42:40,Inactive,Active,50,
3,1/16/2024 16:46:49,Wake Mode,27.8,22.6,14.0,01/16/2024  16:45:41,0.32464,01/16/2024  16:45:41,0,01/16/2024  16:42:34,0,01/16/2024  16:42:18,921B07 - 900300 - DF0000 - ,01/16/2024  16:42:29,0,No new reset,01/16/2024  16:42:40,Inactive,Active,100,
4,1/16/2024 16:48:51,Off Mode,22.5,21.8,0.0,01/16/2024  16:47:44,0.000047,01/16/2024  16:47:44,0,01/16/2024  16:47:19,-1,01/16/2024  16:47:02,,01/16/2024  16:47:15,-2,No response,01/16/2024  16:47:30,Inactive,Active,0,
5,1/16/2024 16:50:35,Off Mode,17.8,20.4,0.0,01/16/2024  16:49:27,0.000049,01/16/2024  16:49:27,0,01/16/2024  16:49:02,-1,01/16/2024  16:48:58,,01/16/2024  16:48:59,-2,No response,01/16/2024  16:49:14,Inactive,Active,0,
6,1/16/2024 16:52:18,Off Mode,14.9,17.9,0.0,01/16/2024  16:51:11,0.000045,01/16/2024  16:51:11,0,01/16/2024  16:50:46,-1,01/16/2024  16:50:42,,01/16/2024  16:50:42,-2,No response,01/16/2024  16:50:57,Inactive,Active,0,
7,1/16/2024 16:54:01,Off Mode,13.5,14.9,0.0,01/16/2024  16:52:54,0.000042,01/16/2024  16:52:54,0,01/16/2024  16:52:29,-1,01/16/2024  16:52:25,,01/16/2024  16:52:25,-2,No response,01/16/2024  16:52:40,Inactive,Active,0,
8,1/16/2024 16:55:44,Off Mode,12.5,11.5,0.0,01/16/2024  16:54:37,0.000045,01/16/2024  16:54:37,0,01/16/2024  16:54:12,-1,01/16/2024  16:54:08,,01/16/2024  16:54:08,-2,No response,01/16/2024  16:54:23,Inactive,Active,0,
9,1/16/2024 16:57:27,Off Mode,12.0,8.4,0.0,01/16/2024  16:56:20,0.000047,01/16/2024  16:56:20,0,01/16/2024  16:55:55,-1,01/16/2024  16:55:51,,01/16/2024  16:55:51,-2,No response,01/16/2024  16:56:06,Inactive,Active,0,
10,1/16/2024 16:59:10,Off Mode,11.8,5.0,0.0,01/16/2024  16:58:03,0.000043,01/16/2024  16:58:03,0,01/16/2024  16:57:38,-1,01/16/2024  16:57:34,,01/16/2024  16:57:34,-2,No response,01/16/2024  16:57:49,Inactive,Active,0,
11,1/16/2024 17:00:53,Off Mode,12.0,1.6,0.0,01/16/2024  16:59:46,0.000043,01/16/2024  16:59:46,0,01/16/2024  16:59:21,-1,01/16/2024  16:59:17,,01/16/2024  16:59:17,-2,No response,01/16/2024  16:59:32,Inactive,Active,0,
12,1/16/2024 17:02:36,Off Mode,12.2,-1.7,0.0,01/16/2024  17:01:29,0.000046,01/16/2024  17:01:29,0,01/16/2024  17:01:04,-1,01/16/2024  17:01:00,,01/16/2024  17:01:00,-2,No response,01/16/2024  17:01:15,Inactive,Active,0,
13,1/16/2024 17:04:19,Off Mode,12.5,-5.0,0.0,01/16/2024  17:03:11,0.000045,01/16/2024  17:03:11,0,01/16/2024  17:02:47,-1,01/16/2024  17:02:43,,01/16/2024  17:02:43,-2,No response,01/16/2024  17:02:58,Inactive,Active,0,
14,1/16/2024 17:06:01,Off Mode,12.8,-8.3,0.0,01/16/2024  17:04:55,0.000045,01/16/2024  17:04:55,0,01/16/2024  17:04:30,-1,01/16/2024  17:04:26,,01/16/2024  17:04:26,-2,No response,01/16/2024  17:04:41,Inactive,Active,0,
15,1/16/2024 17:07:44,Off Mode,13.1,-11.6,0.0,01/16/2024  17:06:37,0.000043,01/16/2024  17:06:37,0,01/16/2024  17:06:12,-1,01/16/2024  17:06:09,,01/16/2024  17:06:09,-2,No response,01/16/2024  17:06:23,Inactive,Active,0,
16,1/16/2024 17:09:28,Off Mode,13.2,-15.1,0.0,01/16/2024  17:08:20,0.000049,01/16/2024  17:08:20,0,01/16/2024  17:07:55,-1,01/16/2024  17:07:51,,01/16/2024  17:07:52,-2,No response,01/16/2024  17:08:06,Inactive,Active,0,
17,1/16/2024 17:11:11,Off Mode,13.3,-18.4,0.0,01/16/2024  17:10:04,0.000045,01/16/2024  17:10:04,0,01/16/2024  17:09:39,-1,01/16/2024  17:09:35,,01/16/2024  17:09:35,-2,No response,01/16/2024  17:09:50,Inactive,Active,0,
18,1/16/2024 17:12:54,Off Mode,13.5,-21.8,0.0,01/16/2024  17:11:47,0.000045,01/16/2024  17:11:47,0,01/16/2024  17:11:22,-1,01/16/2024  17:11:18,,01/16/2024  17:11:18,-2,No response,01/16/2024  17:11:33,Inactive,Active,0,
19,1/16/2024 17:14:37,Off Mode,13.7,-25.3,0.0,01/16/2024  17:13:30,0.000044,01/16/2024  17:13:30,0,01/16/2024  17:13:05,-1,01/16/2024  17:13:01,,01/16/2024  17:13:01,-2,No response,01/16/2024  17:13:16,Inactive,Active,0,
20,1/16/2024 17:16:21,Off Mode,14.1,-28.6,0.0,01/16/2024  17:15:13,0.000046,01/16/2024  17:15:13,0,01/16/2024  17:14:48,-1,01/16/2024  17:14:44,,01/16/2024  17:14:44,-2,No response,01/16/2024  17:14:59,Inactive,Active,0,
