Start Date:,30-04-2025_10.25.11
Bench number:,86
Computer name:,FRF23050189
Test equipment:,CM.33
Script name:,Endurance_Test
Script version:,0.0d
Script path:,*DAG_Displays:\Test_Group\SYS.5_System_Test\Env_Tests\BR_223\Climatic_Tests\Endurance_Test
Test operator name:,Daniel Lobato
Test Request: ,TR.EL24.06823
Test name: ,3_PTL - k-16
Part number: ,-1
VLIMS number: ,SS 1#22
Serial Number: ,
SW Version: ,-1
HW Version: ,-1
Criteria: ,
Current Value Wake Mode High Value Range - 13.5V: ,2.06[A]
Current Value Wake Mode Low Value Range - 13.5: ,0.98[A]
Current Value Wake Mode High Value Range - 17V: ,1.632[A]
Current Value Wake Mode Low Value Range - 17V: ,0.78[A]
Current Value Wake Mode High Value Range - 8V: ,3.58[A]
Current Value Wake Mode Low Value Range - 8V: ,1.69[A]
Current Value Sleep Mode: ,100[mA]

No:, Date & Time, DUT Mode, Probe of Humidity(%),Probe of Temperature(°C), Dry contact value, Reference Voltage(V),Current[A],Current[A] Status, CAN_status,CID_Display_Temp_Status, CDD_Display_Temp_Status,CID ON/OFF, CDD ON/OFF, CID_BackLight , CDD_BackLight, CID_X_Coordinates, CID_Y_Coordinates, CDD_X_Coordinates, CDD_Y_Coordinates, Light_Sensor_On, Light_Sensor_Off, Temp_1,Temp_2, Watchdog_reset, Hardware_reset, Power_reset, Clock_reset, DTC Stored
1,30/04/2025  11:00:10,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.847134,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
2,30/04/2025  11:06:06,Wake Mode,999.9,999.9,3/Operating Max Mode,13.5,2.84194,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
3,30/04/2025  11:12:02,Wake Mode,999.9,999.9,3/Operating Max Mode,8,1.274283,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
4,30/04/2025  11:17:57,Wake Mode,999.9,999.9,6/Operating Min Mode,8,1.274814,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,False,False,-1,-1,-1,-1,-1,
5,30/04/2025  11:23:53,Wake Mode,999.9,999.9,6/Operating Min Mode,17,2.236096,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
6,30/04/2025  11:29:48,Wake Mode,999.9,999.9,1/Parking Off,17,2.232739,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
7,30/04/2025  11:31:09,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370711,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
8,30/04/2025  11:32:14,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.000038845,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
9,30/04/2025  11:33:19,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000390345,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
10,30/04/2025  11:34:24,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000393014,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
11,30/04/2025  11:35:28,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000384059,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
12,30/04/2025  11:36:33,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000370539,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
13,30/04/2025  11:37:38,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000359086,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
14,30/04/2025  11:38:43,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000409978,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
15,30/04/2025  11:39:43,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000386556,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
16,30/04/2025  11:40:48,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000368558,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
17,30/04/2025  11:41:52,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000383111,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
18,30/04/2025  11:42:57,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000379581,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
19,30/04/2025  11:44:02,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000371831,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
20,30/04/2025  11:45:07,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000399645,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
21,30/04/2025  11:46:11,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367008,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
22,30/04/2025  11:47:16,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000378892,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
23,30/04/2025  11:48:21,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000394134,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
24,30/04/2025  11:49:26,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000373036,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
25,30/04/2025  11:50:31,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000386384,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
26,30/04/2025  11:51:35,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367956,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
27,30/04/2025  11:52:40,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000384145,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
28,30/04/2025  11:53:45,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000366664,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
29,30/04/2025  11:54:50,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000348494,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
30,30/04/2025  11:55:55,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000358397,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
31,30/04/2025  11:57:00,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000384145,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
32,30/04/2025  11:58:05,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000340658,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
33,30/04/2025  11:59:09,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000365631,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
34,30/04/2025  12:00:14,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000372606,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
35,30/04/2025  12:01:19,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367525,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
36,30/04/2025  12:02:19,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000362789,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
37,30/04/2025  12:03:24,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000365028,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
38,30/04/2025  12:04:29,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000340486,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
39,30/04/2025  12:05:33,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000393617,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
40,30/04/2025  12:06:39,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000321455,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
41,30/04/2025  12:07:43,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000358569,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
42,30/04/2025  12:08:48,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000371658,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
43,30/04/2025  12:09:53,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000366061,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
44,30/04/2025  12:10:58,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000363564,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
45,30/04/2025  12:12:03,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000359086,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
46,30/04/2025  12:13:08,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367783,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
47,30/04/2025  12:14:13,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000357019,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
48,30/04/2025  12:15:17,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000367008,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
49,30/04/2025  12:16:22,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000346342,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
50,30/04/2025  12:17:27,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000336525,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
51,30/04/2025  12:18:32,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000334114,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
52,30/04/2025  12:19:36,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000359086,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
53,30/04/2025  12:20:41,Sleep Mode,999.9,999.9,1/Parking Off,12.5,0.0000364511,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
54,30/04/2025  12:21:46,Sleep Mode,999.9,999.9,5/Operating Max Mode,12.5,0.0000359,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
55,30/04/2025  12:28:16,Wake Mode,999.9,999.9,5/Operating Max Mode,13.5,2.930421,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
56,30/04/2025  12:34:11,Wake Mode,999.9,999.9,3/Operating Max Mode,13.5,2.921971,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,20,20,True,True,-1,-1,-1,-1,-1,
57,30/04/2025  12:40:07,Wake Mode,999.9,999.9,3/Operating Max Mode,8,1.274908,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,10,10,True,True,-1,-1,-1,-1,-1,
