Start Date:,19-04-2025_11.35.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bench number:,86,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer name:,FRF23050189,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test equipment:,CM.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
Script name:,Endurance_Test,,,,,,,,,,,,,,,,,,,,,,,,,,,
Script version:,0.0d,,,,,,,,,,,,,,,,,,,,,,,,,,,
Script path:,*DAG_Displays:\Test_Group\SYS.5_System_Test\Env_Tests\BR_223\Climatic_Tests\Endurance_Test,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test operator name:,Daniel Lobato,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Request: ,TR.EL24.06823,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test name: ,3_PTL - ENV,,,,,,,,,,,,,,,,,,,,,,,,,,,
Part number: ,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLIMS number: ,SS 1#9,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial Number: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Version: ,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
HW Version: ,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Criteria: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Wake Mode High Value Range - 13.5V: ,2.06[A],,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Wake Mode Low Value Range - 13.5: ,0.98[A],,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Wake Mode High Value Range - 17V: ,1.632[A],,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Wake Mode Low Value Range - 17V: ,0.78[A],,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Wake Mode High Value Range - 8V: ,3.58[A],,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Wake Mode Low Value Range - 8V: ,1.69[A],,,,,,,,,,,,,,,,,,,,,,,,,,,
Current Value Sleep Mode: ,100[mA],,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No:, Date & Time, DUT Mode, Probe of Humidity(%),Probe of Temperature(°C), Dry contact value, Reference Voltage(V),Current[A],Current[A] Status, CAN_status,CID_Display_Temp_Status, CDD_Display_Temp_Status,CID ON/OFF, CDD ON/OFF, CID_BackLight , CDD_BackLight, CID_X_Coordinates, CID_Y_Coordinates, CDD_X_Coordinates, CDD_Y_Coordinates, Light_Sensor_On, Light_Sensor_Off, Temp_1,Temp_2, Watchdog_reset, Hardware_reset, Power_reset, Clock_reset, DTC Stored
1,19/04/2025  11:53:11,Wake Mode,45.6,21.4,5/Operating Max Mode,13.5,2.864129,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
2,19/04/2025  11:59:06,Wake Mode,42.6,22.7,1/Parking Off,13.5,2.860531,NOK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
3,19/04/2025  12:00:27,Sleep Mode,42.2,22.9,3/Operating Max Mode,12.5,3.89828E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
4,19/04/2025  12:06:58,Wake Mode,32.4,23.2,3/Operating Max Mode,6,1.626904,NOK - Different Voltage,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,0,0,TRUE,TRUE,-1,-1,-1,-1,-1
5,19/04/2025  12:12:53,Wake Mode,26.7,23.2,6/Operating Min Mode,6,1.627482,NOK - Different Voltage,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,0,0,TRUE,TRUE,-1,-1,-1,-1,-1
6,19/04/2025  12:18:48,Wake Mode,22.9,23.2,6/Operating Min Mode,16,2.415036,NOK - Different Voltage,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
7,19/04/2025  12:24:44,Wake Mode,18.8,20.5,1/Parking Off,16,2.411211,NOK - Different Voltage,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
8,19/04/2025  12:26:05,Sleep Mode,16.9,18.5,1/Parking Off,12.5,4.03864E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
9,19/04/2025  12:27:10,Sleep Mode,13.6,16.6,1/Parking Off,12.5,4.05845E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
10,19/04/2025  12:28:14,Sleep Mode,12.6,14.6,1/Parking Off,12.5,4.15403E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
11,19/04/2025  12:29:19,Sleep Mode,11.3,12.4,1/Parking Off,12.5,4.24273E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
12,19/04/2025  12:30:24,Sleep Mode,9.7,10.1,1/Parking Off,12.5,3.83025E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
13,19/04/2025  12:31:29,Sleep Mode,8.8,7.8,1/Parking Off,12.5,4.33659E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
14,19/04/2025  12:32:34,Sleep Mode,8.1,5.5,1/Parking Off,12.5,0.000040085,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
15,19/04/2025  12:33:38,Sleep Mode,7.7,3.2,1/Parking Off,12.5,4.33917E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
16,19/04/2025  12:34:43,Sleep Mode,7.5,0.8,1/Parking Off,12.5,4.02228E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
17,19/04/2025  12:35:43,Sleep Mode,7.4,-1.3,1/Parking Off,12.5,4.07567E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
18,19/04/2025  12:36:48,Sleep Mode,7.5,-3.4,1/Parking Off,12.5,3.81992E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
19,19/04/2025  12:37:53,Sleep Mode,7.5,-5.6,1/Parking Off,12.5,4.28148E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
20,19/04/2025  12:38:58,Sleep Mode,7.6,-7.7,1/Parking Off,12.5,3.98095E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
21,19/04/2025  12:39:58,Sleep Mode,7.7,-9.5,1/Parking Off,12.5,3.99214E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
22,19/04/2025  12:41:03,Sleep Mode,7.8,-11.5,1/Parking Off,12.5,4.18676E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
23,19/04/2025  12:42:03,Sleep Mode,8,-13.3,1/Parking Off,12.5,0.000039267,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
24,19/04/2025  12:43:08,Sleep Mode,8.2,-15.2,1/Parking Off,12.5,3.85609E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
25,19/04/2025  12:44:12,Sleep Mode,8.5,-17.1,1/Parking Off,12.5,3.87503E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
26,19/04/2025  12:45:17,Sleep Mode,8.7,-18.9,1/Parking Off,12.5,0.000038957,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
27,19/04/2025  12:46:22,Sleep Mode,8.9,-20.6,1/Parking Off,12.5,3.88536E-05,OK,0,NORM_OPTRN,NORM_OPTRN,1,1,1,1,0,0,0,0,70,70,TRUE,TRUE,-1,-1,-1,-1,-1
